date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:20:27	39641/39641	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Feb%202021%2014:22:36%20GMT	https://templates.envytheme.com/rimu/default/index.html	C:/My%20Web%20Sites/expo1/templates.envytheme.com/rimu/default/index.html	(from )
22:20:28	116/116	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2005%20Dec%202021%2016:50:28%20GMT	https://templates.envytheme.com/robots.txt		(from )
22:20:28	153111/153111	---MCZ	200	added ('OK')	text/css	etag:W/%22603ba735-25617%22	https://templates.envytheme.com/rimu/default/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/expo1/templates.envytheme.com/rimu/default/assets/css/bootstrap.min.css	(from https://templates.envytheme.com/rimu/default/index.html)
22:20:28	1013/1013	---MCZ	200	added ('OK')	text/css	etag:W/%22603ba736-3f5%22	https://templates.envytheme.com/rimu/default/assets/css/owl.theme.default.min.css	C:/My%20Web%20Sites/expo1/templates.envytheme.com/rimu/default/assets/css/owl.theme.default.min.css	(from https://templates.envytheme.com/rimu/default/index.html)
22:20:29	3351/3351	---MCZ	200	added ('OK')	text/css	etag:W/%22603ba736-d17%22	https://templates.envytheme.com/rimu/default/assets/css/owl.carousel.min.css	C:/My%20Web%20Sites/expo1/templates.envytheme.com/rimu/default/assets/css/owl.carousel.min.css	(from https://templates.envytheme.com/rimu/default/index.html)
22:20:30	77757/77757	---MCZ	200	added ('OK')	text/css	etag:W/%22603ba735-12fbd%22	https://templates.envytheme.com/rimu/default/assets/css/animate.min.css	C:/My%20Web%20Sites/expo1/templates.envytheme.com/rimu/default/assets/css/animate.min.css	(from https://templates.envytheme.com/rimu/default/index.html)
22:20:30	2826/2826	---MCZ	200	added ('OK')	text/css	etag:W/%22603ba735-cfa%22	https://templates.envytheme.com/rimu/default/assets/css/flaticon.css	C:/My%20Web%20Sites/expo1/templates.envytheme.com/rimu/default/assets/css/flaticon.css	(from https://templates.envytheme.com/rimu/default/index.html)
22:20:30	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22603ba735-7918%22	https://templates.envytheme.com/rimu/default/assets/css/font-awesome.min.css	C:/My%20Web%20Sites/expo1/templates.envytheme.com/rimu/default/assets/css/font-awesome.min.css	(from https://templates.envytheme.com/rimu/default/index.html)
22:20:30	5499/5499	---MCZ	200	added ('OK')	text/css	etag:W/%22603ba736-157b%22	https://templates.envytheme.com/rimu/default/assets/css/meanmenu.min.css	C:/My%20Web%20Sites/expo1/templates.envytheme.com/rimu/default/assets/css/meanmenu.min.css	(from https://templates.envytheme.com/rimu/default/index.html)
22:20:30	3070/3070	---MCZ	200	added ('OK')	text/css	etag:W/%22603ba736-bfe%22	https://templates.envytheme.com/rimu/default/assets/css/nice-select.min.css	C:/My%20Web%20Sites/expo1/templates.envytheme.com/rimu/default/assets/css/nice-select.min.css	(from https://templates.envytheme.com/rimu/default/index.html)
22:20:31	3220/3220	---MCZ	200	added ('OK')	text/css	etag:W/%22603ba735-c94%22	https://templates.envytheme.com/rimu/default/assets/css/imagelightbox.min.css	C:/My%20Web%20Sites/expo1/templates.envytheme.com/rimu/default/assets/css/imagelightbox.min.css	(from https://templates.envytheme.com/rimu/default/index.html)
22:20:31	3116/3116	---MCZ	200	added ('OK')	text/css	etag:W/%22603ba736-c2c%22	https://templates.envytheme.com/rimu/default/assets/css/odometer.min.css	C:/My%20Web%20Sites/expo1/templates.envytheme.com/rimu/default/assets/css/odometer.min.css	(from https://templates.envytheme.com/rimu/default/index.html)
22:20:31	114857/114857	---MCZ	200	added ('OK')	text/css	etag:W/%22603ba737-23264%22	https://templates.envytheme.com/rimu/default/assets/css/style.css	C:/My%20Web%20Sites/expo1/templates.envytheme.com/rimu/default/assets/css/style.css	(from https://templates.envytheme.com/rimu/default/index.html)
22:20:31	23190/23190	---MCZ	200	added ('OK')	text/css	etag:W/%22603ba736-76b8%22	https://templates.envytheme.com/rimu/default/assets/css/responsive.css	C:/My%20Web%20Sites/expo1/templates.envytheme.com/rimu/default/assets/css/responsive.css	(from https://templates.envytheme.com/rimu/default/index.html)
22:20:31	631/631	---M--	200	added ('OK')	image/png	etag:%22603ba73c-2a2%22	https://templates.envytheme.com/rimu/default/assets/img/favicon.png	C:/My%20Web%20Sites/expo1/templates.envytheme.com/rimu/default/assets/img/favicon.png	(from https://templates.envytheme.com/rimu/default/index.html)
22:20:32	2745/2745	---M--	200	added ('OK')	image/png	etag:%22603ba73d-1042%22	https://templates.envytheme.com/rimu/default/assets/img/rimu-logo.png	C:/My%20Web%20Sites/expo1/templates.envytheme.com/rimu/default/assets/img/rimu-logo.png	(from https://templates.envytheme.com/rimu/default/index.html)
22:20:32	39118/39118	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Feb%202021%2014:22:36%20GMT	https://templates.envytheme.com/rimu/default/index-2.html	C:/My%20Web%20Sites/expo1/templates.envytheme.com/rimu/default/index-2.html	(from https://templates.envytheme.com/rimu/default/index.html)
22:20:32	46028/46028	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Feb%202021%2014:22:36%20GMT	https://templates.envytheme.com/rimu/default/index-3.html	C:/My%20Web%20Sites/expo1/templates.envytheme.com/rimu/default/index-3.html	(from https://templates.envytheme.com/rimu/default/index.html)
22:20:33	45687/45687	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Feb%202021%2014:22:36%20GMT	https://templates.envytheme.com/rimu/default/index-4.html	C:/My%20Web%20Sites/expo1/templates.envytheme.com/rimu/default/index-4.html	(from https://templates.envytheme.com/rimu/default/index.html)
22:20:34	38308/38308	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Feb%202021%2014:22:36%20GMT	https://templates.envytheme.com/rimu/default/index-5.html	C:/My%20Web%20Sites/expo1/templates.envytheme.com/rimu/default/index-5.html	(from https://templates.envytheme.com/rimu/default/index.html)
22:20:34	24132/24132	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Feb%202021%2014:22:34%20GMT	https://templates.envytheme.com/rimu/default/about.html	C:/My%20Web%20Sites/expo1/templates.envytheme.com/rimu/default/about.html	(from https://templates.envytheme.com/rimu/default/index.html)
22:20:34	24896/24896	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Feb%202021%2014:22:37%20GMT	https://templates.envytheme.com/rimu/default/services.html	C:/My%20Web%20Sites/expo1/templates.envytheme.com/rimu/default/services.html	(from https://templates.envytheme.com/rimu/default/index.html)
22:20:34	20739/20739	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Feb%202021%2014:22:37%20GMT	https://templates.envytheme.com/rimu/default/services-grid.html	C:/My%20Web%20Sites/expo1/templates.envytheme.com/rimu/default/services-grid.html	(from https://templates.envytheme.com/rimu/default/index.html)
22:20:35	18712/18712	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Feb%202021%2014:22:37%20GMT	https://templates.envytheme.com/rimu/default/service-details.html	C:/My%20Web%20Sites/expo1/templates.envytheme.com/rimu/default/service-details.html	(from https://templates.envytheme.com/rimu/default/index.html)
22:20:35	18954/18954	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Feb%202021%2014:22:35%20GMT	https://templates.envytheme.com/rimu/default/cart.html	C:/My%20Web%20Sites/expo1/templates.envytheme.com/rimu/default/cart.html	(from https://templates.envytheme.com/rimu/default/index.html)
22:20:35	19591/19591	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Feb%202021%2014:22:35%20GMT	https://templates.envytheme.com/rimu/default/checkout.html	C:/My%20Web%20Sites/expo1/templates.envytheme.com/rimu/default/checkout.html	(from https://templates.envytheme.com/rimu/default/index.html)
22:20:35	22226/22226	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Feb%202021%2014:22:38%20GMT	https://templates.envytheme.com/rimu/default/shop-grid-view.html	C:/My%20Web%20Sites/expo1/templates.envytheme.com/rimu/default/shop-grid-view.html	(from https://templates.envytheme.com/rimu/default/index.html)
22:20:35	22150/22150	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Feb%202021%2014:22:38%20GMT	https://templates.envytheme.com/rimu/default/shop-list-view.html	C:/My%20Web%20Sites/expo1/templates.envytheme.com/rimu/default/shop-list-view.html	(from https://templates.envytheme.com/rimu/default/index.html)
22:20:36	22305/22305	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Feb%202021%2014:22:38%20GMT	https://templates.envytheme.com/rimu/default/shop-filter-view.html	C:/My%20Web%20Sites/expo1/templates.envytheme.com/rimu/default/shop-filter-view.html	(from https://templates.envytheme.com/rimu/default/index.html)
22:20:36	24614/24614	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Feb%202021%2014:22:36%20GMT	https://templates.envytheme.com/rimu/default/product-details.html	C:/My%20Web%20Sites/expo1/templates.envytheme.com/rimu/default/product-details.html	(from https://templates.envytheme.com/rimu/default/index.html)
22:20:37	26060/26060	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Feb%202021%2014:22:37%20GMT	https://templates.envytheme.com/rimu/default/product-left-sidebar.html	C:/My%20Web%20Sites/expo1/templates.envytheme.com/rimu/default/product-left-sidebar.html	(from https://templates.envytheme.com/rimu/default/index.html)
22:20:37	26100/26100	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Feb%202021%2014:22:37%20GMT	https://templates.envytheme.com/rimu/default/product-right-sidebar.html	C:/My%20Web%20Sites/expo1/templates.envytheme.com/rimu/default/product-right-sidebar.html	(from https://templates.envytheme.com/rimu/default/index.html)
22:20:38	19611/19611	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Feb%202021%2014:22:35%20GMT	https://templates.envytheme.com/rimu/default/blog-grid.html	C:/My%20Web%20Sites/expo1/templates.envytheme.com/rimu/default/blog-grid.html	(from https://templates.envytheme.com/rimu/default/index.html)
22:20:38	21438/21438	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Feb%202021%2014:22:35%20GMT	https://templates.envytheme.com/rimu/default/blog-right-sidebar.html	C:/My%20Web%20Sites/expo1/templates.envytheme.com/rimu/default/blog-right-sidebar.html	(from https://templates.envytheme.com/rimu/default/index.html)
22:20:38	21436/21436	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Feb%202021%2014:22:35%20GMT	https://templates.envytheme.com/rimu/default/blog-left-sidebar.html	C:/My%20Web%20Sites/expo1/templates.envytheme.com/rimu/default/blog-left-sidebar.html	(from https://templates.envytheme.com/rimu/default/index.html)
22:20:39	22851/22851	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Feb%202021%2014:22:35%20GMT	https://templates.envytheme.com/rimu/default/blog-details.html	C:/My%20Web%20Sites/expo1/templates.envytheme.com/rimu/default/blog-details.html	(from https://templates.envytheme.com/rimu/default/index.html)
22:20:39	18706/18706	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Feb%202021%2014:22:38%20GMT	https://templates.envytheme.com/rimu/default/team.html	C:/My%20Web%20Sites/expo1/templates.envytheme.com/rimu/default/team.html	(from https://templates.envytheme.com/rimu/default/index.html)
22:20:39	17737/17737	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Feb%202021%2014:22:36%20GMT	https://templates.envytheme.com/rimu/default/faq.html	C:/My%20Web%20Sites/expo1/templates.envytheme.com/rimu/default/faq.html	(from https://templates.envytheme.com/rimu/default/index.html)
22:20:40	2632/2632	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Feb%202021%2014:22:35%20GMT	https://templates.envytheme.com/rimu/default/coming-soon.html	C:/My%20Web%20Sites/expo1/templates.envytheme.com/rimu/default/coming-soon.html	(from https://templates.envytheme.com/rimu/default/index.html)
22:20:40	2264/2264	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Feb%202021%2014:22:34%20GMT	https://templates.envytheme.com/rimu/default/404.html	C:/My%20Web%20Sites/expo1/templates.envytheme.com/rimu/default/404.html	(from https://templates.envytheme.com/rimu/default/index.html)
22:20:41	16001/16001	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Feb%202021%2014:22:36%20GMT	https://templates.envytheme.com/rimu/default/log-in.html	C:/My%20Web%20Sites/expo1/templates.envytheme.com/rimu/default/log-in.html	(from https://templates.envytheme.com/rimu/default/index.html)
22:20:41	16761/16761	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Feb%202021%2014:22:38%20GMT	https://templates.envytheme.com/rimu/default/sign-up.html	C:/My%20Web%20Sites/expo1/templates.envytheme.com/rimu/default/sign-up.html	(from https://templates.envytheme.com/rimu/default/index.html)
22:20:42	15514/15514	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Feb%202021%2014:22:37%20GMT	https://templates.envytheme.com/rimu/default/recover-password.html	C:/My%20Web%20Sites/expo1/templates.envytheme.com/rimu/default/recover-password.html	(from https://templates.envytheme.com/rimu/default/index.html)
22:20:42	17972/17972	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Feb%202021%2014:22:35%20GMT	https://templates.envytheme.com/rimu/default/contact.html	C:/My%20Web%20Sites/expo1/templates.envytheme.com/rimu/default/contact.html	(from https://templates.envytheme.com/rimu/default/index.html)
